gage,Contributing_Area_u,alt_u,order_u,n_u,So_u,Kchan_u,nCC_u,TopWdth_u,TopWdthCC_u,ChSlp_u,BtmWdth_u,lon_u,lat_u,Shape_Area_u,Shape_Length_u,Reach_Length_u,Contributing_Area_d,alt_d,order_d,n_d,So_d,Kchan_d,nCC_d,TopWdth_d,TopWdthCC_d,ChSlp_d,BtmWdth_d,lon_d,lat_d,Shape_Area_d,Shape_Length_d,Reach_Length_d
09497800,0.2408969927460355,2484.95,2,0.06,0.00663,0,0.12,3.6864524,11.059357,0.6562881,2.2118714,-109.73381,34.013695,2.3716537525053577e-06,0.0100739645068642,0.0010330928909651,0.2198114193326483,959.86,6,0.05,0.01604,0,0.1,52.195366,156.5861,0.20384033,31.31722,-110.55925,33.838055,1.902266302629308e-05,0.0230488727861005,0.0054012784117475
02479300,0.0188716105547111,95.14,2,0.06,0.0023,0,0.12,4.3946753,13.184026,0.60733,2.636805,-89.45108,30.937677,2.4633764097012584e-06,0.0085470446381807,0.0017197598962299,0.0084699348319879,8.01,5,0.05,0.00081,0,0.1,27.39343,82.18029,0.27090257,16.436058,-88.757195,30.727331,0.0002052185359515,0.0902152705080329,0.0183050623997832
03069500,0.7119268396298474,1176.85,1,0.06,0.03063,0,0.12,4.1008005,12.3024025,0.6261605,2.4604805,-79.89923,38.655663,0.0004765004228471,0.1203471160051792,0.0256684538948172,0.6960974887509591,485.19,5,0.05,0.00271,0,0.1,31.535843,94.60753,0.2545843,18.921507,-79.69015,39.13735,7.951352950024939e-05,0.0542822734646513,0.009135654951029
09447800,0.2903581346246799,1557.36,2,0.06,0.03019,0,0.12,4.538278,13.614834,0.5987755,2.7229667,-109.81777,33.264263,8.970576880503062e-06,0.0227477868894935,0.0010458424739117,0.2826698922752344,1052.73,5,0.05,0.00314,0,0.1,23.489653,70.468956,0.28991482,14.093791,-109.51416,32.947544,0.0001714847208536,0.0777092092033672,0.0183301136489697
03604000,0.4139505323575437,288.01,1,0.06,0.02197,0,0.12,2.7063925,8.119178,0.7521566,1.6238356,-87.472565,35.41788,0.0001345965020898,0.0861558786943767,0.0208123289610443,0.4073240235318472,159.1,5,0.05,1e-05,0,0.1,26.895796,80.687386,0.27310258,16.137478,-87.83458,35.500088,5.364387548057175e-07,0.0034810293393977,0.0008764670227739
07056000,0.2715638210708904,310.29,1,0.06,0.0448,0,0.12,2.0418746,6.125624,0.85170925,1.2251248,-93.05616,35.969276,5.917124690687266e-05,0.0568873737828939,0.0224553244239229,0.2667921339060132,174.39,5,0.05,1e-05,0,0.1,33.16245,99.48734,0.24899775,19.897469,-92.73855,35.996155,0.0002644544173772,0.0890791691995094,0.0475623817250913
09430500,0.3351852757377566,2294.2,2,0.06,0.00713,0,0.12,7.401197,22.20359,0.48256224,4.440718,-107.88555,33.490627,0.0006292680943665,0.1881823065037861,0.0580603678435595,0.3126380884144653,1411.77,6,0.05,0.00332,0,0.1,44.572533,133.7176,0.21854416,26.74352,-108.535484,33.03639,0.0004976829370993,0.1267357598585252,0.0289423148562499
06784000,0.6237611759846523,777.16,1,0.06,0.01453,0,0.12,2.9060817,8.7182455,0.72890073,1.743649,-99.52061,41.253773,0.0001796484847482,0.0759189442244818,0.0197222742845335,0.606859603121815,588.49,6,0.05,1e-05,0,0.1,46.15829,138.47487,0.21519941,27.694975,-98.73654,41.033283,6.225413579196604e-05,0.0430454716401634,0.0043073811349795
12041200,0.0222948783451466,1541.62,1,0.06,0.20659,0,0.12,4.6457033,13.937109,0.5926271,2.787422,-123.65871,47.843018,0.0007984394218602,0.1701378935921758,0.0482636950012365,0.0050728869005364,43.93,4,0.055,0.00196,0,0.11,22.302366,66.9071,0.29662532,13.38142,-124.27843,47.787254,0.0009069363633684,0.1497870077915925,0.0187065942990453
02481510,0.0111490339683735,109.29,1,0.06,0.00792,0,0.12,3.0023963,9.007189,0.7184909,1.8014377,-89.571,31.041273,0.0001738910710812,0.0684013998911987,0.0168911174763245,0.0023792528825259,9.11,5,0.05,1e-05,0,0.1,23.926437,71.77931,0.28756788,14.355863,-89.25806,30.470726,0.0001073704663871,0.0646015303537833,0.0104833663612263
06450500,0.8628975281621236,917.85,3,0.055,1e-05,0,0.11,10.357663,31.072989,0.4160632,6.2145977,-101.53252,43.121437,6.968300682561167e-07,0.0043739868945498,0.0012275785434963,0.8120202082869747,583.16,5,0.05,0.00217,0,0.1,40.855614,122.56684,0.22710283,24.513369,-100.73299,43.60055,0.0001816003058406,0.08020082709737,0.0131855030252929
